State,County,Latitude ,Longitude ,Date,Time,Crime,Occurences
WY,Albany,41.293265,-105.590699,10-Sep-18,10:00am-10:59am,Assault,2
WY,Albany,41.293265,-105.590699,13-Sep-18,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,25-Sep-18,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,26-Sep-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,29-Sep-18,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,30-Sep-18,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,2-Oct-18,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,4-Oct-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Oct-18,1:00am-1:59am,Assault,2
WY,Albany,41.293265,-105.590699,9-Oct-18,3:00pm-3:59pm,Assault,5
WY,Albany,41.293265,-105.590699,10-Oct-18,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,13-Oct-18,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,26-Oct-18,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,28-Oct-18,10:00pm-10:59pm,Assault,4
WY,Albany,41.293265,-105.590699,1-Nov-18,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,3-Nov-18,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,4-Nov-18,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,5-Nov-18,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,6-Nov-18,10:00am-10:59am,Assault,1
WY,Albany,41.293265,-105.590699,7-Nov-18,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,9-Nov-18,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,14-Nov-18,11:00pm-11:59pm,Assault,1
WY,Albany,41.293265,-105.590699,16-Nov-18,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,25-Nov-18,4:00pm-4:59pm,Assault,2
WY,Albany,41.293265,-105.590699,28-Nov-18,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,2-Dec-18,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,4-Dec-18,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,16-Dec-18,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,20-Dec-18,2:00am-2:59am,Assault,1
WY,Albany,41.293265,-105.590699,24-Dec-18,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,24-Dec-18,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,25-Dec-18,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,28-Dec-18,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,30-Dec-18,5:00am-5:59am,Assault,1
WY,Albany,41.293265,-105.590699,30-Dec-18,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,1-Jan-19,2:00am-2:59am,Assault,1
WY,Albany,41.293265,-105.590699,2-Jan-19,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,5-Jan-19,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,9-Jan-19,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,11-Jan-19,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,14-Jan-19,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,15-Jan-19,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,22-Jan-19,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,24-Jan-19,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,29-Jan-19,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,3-Feb-19,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,4-Feb-19,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,10-Feb-19,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,12-Feb-19,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,13-Feb-19,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,15-Feb-19,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,17-Feb-19,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,18-Feb-19,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Feb-19,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,22-Feb-19,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,22-Feb-19,9:00pm-9:59pm,Assault,1
